"industry_name","produkt","mzda_2006","mzda_2018","nakup_2006","nakup_2018","mzda_diff_pct","nakup_diff_pct","zaver"
Administrativní a podpůrné činnosti,Chléb,13414.00,20165.50,831.95,831.96,50.33,0.00,Stagnace
Administrativní a podpůrné činnosti,Mléko,13414.00,20165.50,929.09,1017.56,50.33,9.52,Zlepšení
Administrativní a podpůrné činnosti,Pečivo,13414.00,20165.50,347.55,460.03,50.33,32.37,Zlepšení
Činnosti v oblasti nemovitostí,Chléb,17550.75,27059.50,1088.51,1116.38,54.18,2.56,Zlepšení
Činnosti v oblasti nemovitostí,Mléko,17550.75,27059.50,1215.61,1365.44,54.18,12.33,Zlepšení
Činnosti v oblasti nemovitostí,Pečivo,17550.75,27059.50,454.73,617.30,54.18,35.75,Zlepšení
Doprava a skladování,Chléb,18993.75,29135.75,1178.01,1202.04,53.40,2.04,Zlepšení
Doprava a skladování,Mléko,18993.75,29135.75,1315.55,1470.21,53.40,11.76,Zlepšení
Doprava a skladování,Pečivo,18993.75,29135.75,492.11,664.66,53.40,35.06,Zlepšení
Informační a komunikační činnosti,Chléb,34942.00,55474.75,2167.13,2288.70,58.76,5.61,Zlepšení
Informační a komunikační činnosti,Mléko,34942.00,55474.75,2420.17,2799.29,58.76,15.66,Zlepšení
Informační a komunikační činnosti,Pečivo,34942.00,55474.75,905.32,1265.53,58.76,39.79,Zlepšení
"Kulturní, zábavní a rekreační činnosti",Chléb,15477.50,26761.75,959.92,1104.10,72.91,15.02,Zlepšení
"Kulturní, zábavní a rekreační činnosti",Mléko,15477.50,26761.75,1072.01,1350.41,72.91,25.97,Zlepšení
"Kulturní, zábavní a rekreační činnosti",Pečivo,15477.50,26761.75,401.01,610.51,72.91,52.24,Zlepšení
Ostatní činnosti,Chléb,14955.00,21249.50,927.52,876.68,42.09,-5.48,Zhoršení
Ostatní činnosti,Mléko,14955.00,21249.50,1035.82,1072.26,42.09,3.52,Zlepšení
Ostatní činnosti,Pečivo,14955.00,21249.50,387.47,484.76,42.09,25.11,Zlepšení
Peněžnictví a pojišťovnictví,Chléb,39353.25,53339.50,2440.71,2200.61,35.54,-9.84,Zhoršení
Peněžnictví a pojišťovnictví,Mléko,39353.25,53339.50,2725.70,2691.54,35.54,-1.25,Zhoršení
Peněžnictví a pojišťovnictví,Pečivo,39353.25,53339.50,1019.61,1216.82,35.54,19.34,Zlepšení
"Profesní, vědecké a technické činnosti",Chléb,23105.75,37162.75,1433.03,1533.21,60.84,6.99,Zlepšení
"Profesní, vědecké a technické činnosti",Mléko,23105.75,37162.75,1600.36,1875.25,60.84,17.18,Zlepšení
"Profesní, vědecké a technické činnosti",Pečivo,23105.75,37162.75,598.65,847.78,60.84,41.62,Zlepšení
Stavebnictví,Chléb,17643.75,27821.75,1094.28,1147.83,57.69,4.89,Zlepšení
Stavebnictví,Mléko,17643.75,27821.75,1222.05,1403.90,57.69,14.88,Zlepšení
Stavebnictví,Pečivo,17643.75,27821.75,457.13,634.69,57.69,38.84,Zlepšení
Těžba a dobývání,Chléb,24017.50,35942.75,1489.58,1482.88,49.65,-0.45,Zhoršení
